statement,source,link,veracity,tokens
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/scott-walker/scott-walkers-big-re-election-tax-cut-tout-8-billi/,1,"['Since', 'taking', 'office', 'we', 'have', 'enacted', 'more', 'than', '8', 'billion', 'in', 'cumulative', 'tax', 'relief']"
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0,"['Bill', 'Clinton', 'passed', 'a', 'law', 'in', '1996', 'that', 'separated', 'children', 'from', 'adults', 'illegally', 'entering', 'America']"
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1,"['Under', 'Emanuel', 'CPS', 'has', 'become', 'the', 'most', 'understaffed', 'school', 'district', 'in', 'Illinois']"
"""39% of All California Students are illegals.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/no-39-california-students-arent-undocumented/,0,"['39', 'of', 'All', 'California', 'Students', 'are', 'illegals']"
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/viral-image-overstates-births-undocumented-mothers/,0,"['More', 'than', '66', 'of', 'ALL', 'births', 'in', 'California', 'are', 'to', 'illegals', 'on', 'Medi', 'Cal']"
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/05/scott-walker/gov-scott-walker-says-state-schools-chief-tony-eve/,0,"['By', 'law', 'Democrats', 'gave', 'the', 'superintendent', 'of', 'public', 'instruction', 'back', 'in', '2009', 'the', 'ability', 'to', 'take', 'over', 'failing', 'schools', 'The', 'current', 'superintendent', 'has', 'failed', 'to', 'do', 'that']"
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jul/05/rick-scott/did-sen-bill-nelson-vote-higher-taxes-349-no/,0,"['Says', 'Sen', 'Bill', 'Nelson', 'voted', 'for', 'higher', 'taxes', '349', 'times']"
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0,"['Watch', 'those', 'GDP', 'numbers', 'We', 'started', 'off', 'at', 'a', 'very', 'low', 'number', 'and', 'right', 'now', 'we', 'hit', 'a', '3', '2', 'percent', 'Nobody', 'thought', 'that', 'was', 'possible']"
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0,"['The', 'European', 'Union', 'they', 'send', 'us', 'Mercedes', 'they', 'send', 'us', 'by', 'the', 'millions', 'the', 'BMWs', 'cars', 'by', 'the', 'millions']"
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0,"['Clinton', 'campaign', 'official', 'arrested', 'by', 'FBI', 'on', 'child', 'rape', 'trafficking', 'charges']"
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0,"['Our', 'courts', 'find', 'that', '80', 'percent', 'of', 'those', 'who', 'do', 'file', 'for', 'asylum', 'aren', 't', 'qualified', 'for', 'it', 'do', 'not', 'merit', 'that', 'relief']"
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180717183606/http://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0,"['Says', 'a', 'progressive', 'income', 'tax', 'proposal', 'from', 'Democratic', 'governor', 'candidate', 'J', 'B', 'Pritzker', 'is', 'wholly', 'regressive']"
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0,"['Maxine', 'Waters', 'Is', 'Getting', 'Criminally', 'Charged']"
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/14/bernie-s/bernie-sanders-wrongly-says-donald-trump-never-apo/,0,"['Says', 'Donald', 'Trump', 'has', 'not', 'apologized', 'for', 'comments', 'caught', 'on', 'tape', 'by', 'Access', 'Hollywood']"
"A Colgate toothpaste is subject to ""recall.""",Shared This,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/shared/story-misleads-about-fd-triclosan-and-toothpaste/,0,"['A', 'Colgate', 'toothpaste', 'is', 'subject', 'to', 'recall']"
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,0,"['Facebook', 'picks', 'sides', 'in', 'Alabama', 'Senate', 'race', 'shuts', 'down', 'Gateway', 'Pundit', 'and', 'Breitbart', 'reports', 'on', 'discredited', 'Allred', 'accuser']"
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/donald-trump/donald-trump-wrong-black-homeownership-rate-record/,0,"['Black', 'homeownership', 'just', 'hit', 'the', 'highest', 'level', 'it', 'has', 'ever', 'been', 'in', 'the', 'history', 'of', 'our', 'country']"
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,0,"['I', 'released', 'way', 'more', 'tax', 'information', 'than', 'Bruce', 'Rauner', 'has']"
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,0,"['Earlier', 'this', 'year', 'Hurricane', 'Harvey', 'left', 'more', 'than', '12', 'million', 'people', 'in', 'Texas', 'and', 'Louisiana', 'without', 'homes']"
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0,"['Bill', 'Clinton', 'passed', 'a', 'law', 'in', '1996', 'that', 'separated', 'children', 'from', 'adults', 'illegally', 'entering', 'America']"
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1,"['Under', 'Emanuel', 'CPS', 'has', 'become', 'the', 'most', 'understaffed', 'school', 'district', 'in', 'Illinois']"
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,0,"['The', 'Trump', 'administration', 's', 'policy', 'of', 'separating', 'families', 'is', 'the', 'same', 'way', 'Barack', 'Obama', 'did', 'it']"
"""Crime in Germany is way up.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/donald-trump/donald-trump-wrong-about-crime-germany/,0,"['Crime', 'in', 'Germany', 'is', 'way', 'up']"
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,0,"['Senate', 'report', 'admits', 'Clinton', 'gifted', 'children', 'to', 'human', 'traffickers']"
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/18/bruce-rauner/rauners-legionnaires-claim-misses-mark-and-point/,0,"['Says', 'massive', 'floods', 'led', 'to', 'Legionnaires', 'disease', 'outbreaks', 'at', 'the', 'Quincy', 'Veterans', 'Home']"
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,1,"['The', 'graduation', 'rate', 'in', 'New', 'York', 'City', 'has', 'increased', 'by', '50', 'percent', 'in', '13', 'years']"
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,0,"['First', 'indictment', 'issued', 'in', 'Russian', 'bribery', 'case', 'tied', 'to', 'Obama', 'era', 'Uranium', 'One', 'deal']"
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,0,"['Oprah', 'tells', 'Fox', 'News', 'host', 'all', 'white', 'people', 'have', 'to', 'die']"
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,0,"['Almost', 'half', 'of', 'all', 'vehicles', 'stolen', 'in', 'Texas', 'each', 'year', 'had', 'keys', 'left', 'inside']"
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/11/norm-eisen/donald-trumps-fake-news-awards-could-land-white-ho/,1,"['The', 'White', 'House', 'staff', 'risks', 'violating', 'federal', 'ethics', 'rules', 'if', 'they', 'participate', 'in', 'Donald', 'Trump', 's', 'fake', 'news', 'awards']"
"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/newsgroopspeakcom/no-judge-grant-subpoena-president-donald-trump/,0,"['Breaking', 'federal', 'judge', 'grants', 'permission', 'to', 'subpoena', 'Trump']"
"""Hillary Clinton lied many times to the FBI.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/dec/05/donald-trump/donald-trump-falsely-claims-hillary-clinton-lied-f/,0,"['Hillary', 'Clinton', 'lied', 'many', 'times', 'to', 'the', 'FBI']"
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,/web/20180119081744/http://www.politifact.com/illinois/statements/2017/dec/04/daniel-biss/biss-accurate-sarcastic-tax-hit-opponents-pritzker/,1,"['These', 'guys', 'are', 'now', 'pretty', 'much', 'living', 'up', 'to', 'the', 'BruceRauner', 'standard', 'And', 'falling', 'dismally', 'short', 'of', 'the', 'MittRomney', 'standard', 'Even', 'Romney', 'released', 'his', 'full', 'tax', 'returns']"
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,/web/20180119081744/http://www.politifact.com/texas/statements/2017/dec/02/eddie-rodriguez/domestic-violence-not-confirmed-precursor-mass-sho/,0,"['Says', 'that', 'perpetrators', 'of', 'domestic', 'violence', 'accounted', 'for', '54', 'of', 'mass', 'shootings', 'between', '2009', 'and', '2016', 'according', 'to', 'the', 'advocacy', 'group', 'Everytown', 'for', 'Gun', 'Safety']"
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/30/donald-trump/will-gop-tax-bill-cost-donald-trump-fortune-no/,0,"['Says', 'the', 'tax', 'bill', 'is', 'going', 'to', 'cost', 'me', 'a', 'fortune', 'this', 'thing', 'believe', 'me', 'Believe', 'me', 'this', 'is', 'not', 'good', 'for', 'me']"
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,/web/20180119081744/http://www.politifact.com/truth-o-meter/statements/2017/nov/29/tim-scott/if-you-pay-no-taxes-will-you-end-more-money-under-/,0,"['If', 'you', 'don', 't', 'pay', 'income', 'taxes', 'you', 'll', 'have', 'more', 'money', 'under', 'the', 'Republican', 'tax', 'plan']"
"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,/web/20180119142313/http://www.politifact.com/missouri/statements/2017/nov/24/ann-wagner/satanic-temple-has-not-teamed-planned-parenthood-o/,0,"['Satanists', 'have', 'teamed', 'up', 'with', 'the', 'ACLU', 'and', 'Planned', 'Parenthood', 'in', 'Missouri', 'to', 'roll', 'back', 'the', 'rights', 'of', 'the', 'unborn']"
"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,/web/20180119142313/http://www.politifact.com/wisconsin/statements/2017/nov/24/wisconsin-department-transportation/are-wisconsins-driver-licenses-most-secure-nation-/,1,"['Wisconsin', 's', 'driver', 'licenses', 'and', 'identification', 'ID', 'cards', 'are', 'currently', 'the', 'most', 'secure', 'in', 'the', 'nation']"
"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/21/pipo-news/fake-news-civil-war-erupts-sweden/,0,"['Civil', 'war', 'erupts', 'in', 'Sweden', 'as', 'irate', 'Swedes', 'burn', 'nine', 'Muslim', 'refugee', 'centers', 'to', 'the', 'ground']"
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/21/freshmedianewscom/misleading-headline-says-412-michigan-muslims-bust/,0,"['The', 'largest', 'bust', 'in', 'U', 'S', 'history', '412', 'Muslims', 'arrested', 'from', 'Michigan']"
"Says Doug Jones ""is for full-term abortion.""",Kayla Moore,/web/20180119155920/http://www.politifact.com/truth-o-meter/statements/2017/nov/21/kayla-moore/moores-wife-coins-new-anti-abortion-term-attack-hi/,0,"['Says', 'Doug', 'Jones', 'is', 'for', 'full', 'term', 'abortion']"
"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,/web/20180119155920/http://www.politifact.com/new-york/statements/2017/nov/20/brian-higgins/not-all-state-and-local-tax-deductions-eliminated-/,0,"['The', 'elimination', 'of', 'income', 'and', 'sales', 'taxes', 'in', 'New', 'York', 'is', 'equal', 'to', '9', 'percent', 'of', 'taxable', 'income', 'meaning', 'that', 'if', 'you', 'make', '100', '000', 'a', 'year', 'you', 'lose', '9', '000']"
"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/20/americannewscom/no-nasa-antarctica-study-didnt-discredit-climate-c/,0,"['BUSTED', 'NASA', 'Accidentally', 'destroys', 'every', 'climate', 'change', 'advocate', 'by', 'exposing', 'massive', 'truth', 'behind', 'Antarctica']"
"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",Roger Falk,/web/20180119155920/http://www.politifact.com/texas/statements/2017/nov/17/roger-falk/taxpayer-incorrectly-says-austin-school-district-t/,0,"['Says', 'the', 'Austin', 'school', 'district', 'enjoys', 'the', 'highest', 'per', 'student', 'funding', 'of', 'all', 'large', 'Texas', 'districts', 'even', 'after', 'forwarding', 'tax', 'revenue', 'to', 'the', 'state']"
"Iran’s regime ""every Friday declares war on us.""",Sebastian Gorka,/web/20180119155920/http://www.politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/,0,"['Iran', 's', 'regime', 'every', 'Friday', 'declares', 'war', 'on', 'us']"
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",Greg Abbott,/web/20180119155920/http://www.politifact.com/texas/statements/2017/nov/16/greg-abbott/greg-abbott-makes-false-claims-about-texas-unemplo/,0,"['The', 'Texas', 'unemployment', 'rate', 'is', 'now', 'the', 'lowest', 'it', 's', 'been', 'in', '40', 'years', 'Texas', 'led', 'the', 'nation', 'last', 'month', 'in', 'new', 'job', 'creation']"
"Californians pay ""the highest electricity bills"" in the nation.",John Cox,/web/20180119155920/http://www.politifact.com/california/statements/2017/nov/16/john-cox/does-california-have-highest-electricity-bills-nat/,0,"['Californians', 'pay', 'the', 'highest', 'electricity', 'bills', 'in', 'the', 'nation']"
"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",Steve Bannon,/web/20180119155920/http://www.politifact.com/truth-o-meter/statements/2017/nov/15/steve-bannon/behind-stephen-bannons-misrepresentation-chuck-tod/,0,"['Says', 'Chuck', 'Todd', 'said', 'the', 'Roy', 'Moore', 'story', 'felt', 'completely', 'orchestrated']"
"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",Amanda Carpenter,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/14/amanda-carpenter/given-roy-moores-troubles-could-luther-strange-run/,0,"['There', 'are', 'sore', 'loser', 'laws', 'that', 'would', 'bar', 'Luther', 'Strange', 'from', 'pursuing', 'a', 'seat', 'because', 'he', 'already', 'lost', 'the', 'Alabama', 'Republican', 'Senate', 'runoff', 'to', 'Roy', 'Moore']"
"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",Bloggers,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/14/blog-posting/no-washington-post-roy-moore-reporter-doesnt-have-/,0,"['Says', 'a', 'Washington', 'Post', 'reporter', 'who', 'broke', 'news', 'on', 'Judge', 'Roy', 'Moore', 'story', 'has', 'a', 'criminal', 'history', 'of', 'faking']"
"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",Richard Durbin,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/13/richard-durbin/dick-durbin-wrong-gop-tax-bill-hasnt-had-independe/,0,"['The', 'Republican', 'tax', 'bill', 'is', 'not', 'being', 'scored', 'by', 'the', 'Congressional', 'Budget', 'Office', 'as', 'it', 'is', 'traditionally']"
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,/web/20180119162004/http://www.politifact.com/georgia/statements/2017/nov/13/michael-williams/did-bump-stocks-prevent-more-casualties-las-vegas/,0,"['Many', 'firearms', 'experts', 'determined', 'the', 'Las', 'Vegas', 'shooter', 's', 'use', 'of', 'a', 'bump', 'stock', 'actually', 'prevented', 'more', 'casualties', 'and', 'injuries', 'due', 'to', 'its', 'inconsistency', 'inaccuracy', 'and', 'lack', 'of', 'control']"
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",Delaine Eastin,/web/20180119163549/http://www.politifact.com/california/statements/2017/nov/09/delaine-eastin/false-claim-california-has-built-nearly-four-times/,0,"['Since', '1965', 'California', 'has', 'built', 'six', 'college', 'campuses', 'but', '23', 'prisons']"
"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",Jeff Flake,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/09/jeff-flake/flake-roy-moore-said-muslims-shouldnt-serve-congre/,1,"['Says', 'Roy', 'Moore', 'said', 'a', 'practicing', 'Muslim', 'should', 'not', 'be', 'a', 'member', 'of', 'Congress', 'because', 'of', 'his', 'faith']"
"The Republican tax bill ""lets every American keep more of what they earned.""",Kevin McCarthy,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/09/kevin-mccarthy/will-every-american-get-tax-cut-house-gop-bill/,0,"['The', 'Republican', 'tax', 'bill', 'lets', 'every', 'American', 'keep', 'more', 'of', 'what', 'they', 'earned']"
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,/web/20180119163549/http://www.politifact.com/florida/statements/2017/nov/08/adam-putnam/adam-putnam-right-about-need-more-nurses-state/,1,"['The', 'No', '1', 'job', 'vacancy', 'in', 'Florida', 'every', 'month', 'for', 'seven', 'years', 'has', 'been', 'nursing']"
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/03/michael-kearns/kearns-constant-critic-sheldon-silver-while-assemb/,1,"['When', 'I', 'saw', 'corruption', 'and', 'sexual', 'harassment', 'cover', 'ups', 'I', 'called', 'on', 'Sheldon', 'Silver', 'to', 'resign']"
"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,/web/20180119164415/http://www.politifact.com/illinois/statements/2017/nov/03/eric-holcomb/indiana-governor-right-gloat-about-union-jobs-succ/,1,"['We', 're', 'growing', 'union', 'jobs', 'faster', 'than', 'Illinois']"
Says diversity visa immigrants are not vetted.,Sarah  Huckabee Sanders,/web/20180119164415/http://www.politifact.com/truth-o-meter/statements/2017/nov/02/sarah-huckabee-sanders/white-house-press-secretary-claims-diversity-visa-/,0,"['Says', 'diversity', 'visa', 'immigrants', 'are', 'not', 'vetted']"
"""We are spending more on affordable housing than we're spending on Dix Park right now.""",Nancy McFarlane,/web/20180119164415/http://www.politifact.com/north-carolina/statements/2017/nov/02/nancy-mcfarlane/mayor-says-raleigh-spending-more-housing-dix-park/,1,"['We', 'are', 'spending', 'more', 'on', 'affordable', 'housing', 'than', 'we', 're', 'spending', 'on', 'Dix', 'Park', 'right', 'now']"
"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",John Cox,/web/20180119164415/http://www.politifact.com/california/statements/2017/nov/01/john-cox/does-california-spend-nearly-five-times-much-build/,0,"['It', 'costs', 'nearly', 'five', 'times', 'as', 'much', 'in', 'California', 'to', 'build', 'and', 'maintain', 'a', 'mile', 'of', 'road', 'as', 'it', 'does', 'in', 'the', 'rest', 'of', 'the', 'nation']"
"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",New Leadership PAC,/web/20180119164415/http://www.politifact.com/texas/statements/2017/nov/01/new-leadership-pac/did-gop-activists-representing-majority-gop-voters/,1,"['Says', 'county', 'parties', 'representing', 'more', 'than', 'half', 'the', 'state', 's', 'Republican', 'voters', 'approved', 'resolutions', 'demanding', 'changes', 'in', 'Texas', 'House', 'leadership']"
